"ID"	"Acc"	"best.pop"
"mtCR.mix-3"	"SER19-00356"	"mtCR.sound"
"mtCR.mix-3"	"SER19-00360"	"mtCR.sound"
"mtCR.mix-3"	"SER19-00368"	"mtCR.sound"
"mtCR.mix-3"	"SER19-00885"	"mtCR.sound"
"mtCR.mix-3"	"SER19-00907"	"mtCR.sound"
"mtCR.mix-3"	"SER19-01043"	"mtCR.sound"
"mtCR.mix-3"	"SER19-01143"	"mtCR.sound"
"mtCR.mix-3"	"SER20-00171"	"mtCR.sound"
"mtCR.mix-3"	"SER20-00175"	"mtCR.sound"
"mtCR.mix-3"	"SER20-00177"	"mtCR.sound"
"mtCR.mix-3"	"SER20-00553"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00170"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00792"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00801"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00900"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00932"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00941"	"mtCR.sound"
"mtCR.mix-3"	"SER21-00943"	"mtCR.sound"
"mtCR.mix-3"	"SER21-01176"	"mtCR.sound"
"mtCR.mix-3"	"SER12-0678"	"mtCR.sound"
"mtCR.mix-1"	"AY997309.1"	"mtCR.sound"
"mtCR.mix-1"	"JN944245.1"	"mtCR.sound"
"mtCR.mix-1"	"MT380117.1"	"mtCR.sound"
"mtCR.mix-1"	"MT380120.1"	"mtCR.sound"
"mtCR.mix-1"	"MT380122.1"	"mtCR.sound"
"mtCR.mix-1"	"MT380125.1"	"mtCR.sound"
"mtCR.mix-1"	"MT380127.1"	"mtCR.sound"
"mtCR.mix-1"	"MT380129.1"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0003"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0037"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0077"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0087"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0088"	"mtCR.sound"
"mtCR.mix-1"	"SER10-0130"	"mtCR.sound"
