       Accession     P4     P6     P7    P10     Type
331  SER20-00176  212.0  488.0  393.0  517.0 Complete
332  SER20-00177  400.5  499.0  705.0  469.0 Complete
333  SER20-00178  317.0  397.0  668.0  557.0 Complete
334  SER20-00179  223.0  328.0  577.0  375.0 Complete
335  SER20-00180  256.0  342.0  557.0  437.0 Complete
336  SER20-00181  309.0  476.0  150.0  579.0 Complete
337  SER20-00183  272.0  372.0  453.0  396.0 Complete
338  SER20-00260  257.0  323.0  498.0  417.0 Complete
339  SER20-00261  102.0  673.0  261.5  983.0 Complete
340  SER20-00262  372.0  767.0  212.0  785.0 Complete
341  SER20-00263  253.0  391.0  582.0  557.0 Complete
342  SER20-00264  392.0  447.0  562.0  590.0 Complete
343  SER20-00265  322.0  383.0  533.0  490.0 Complete
344  SER20-00266  292.0  404.0  622.0  534.0 Complete
345  SER20-00269   57.0  428.0  335.0  463.0 Complete
346  SER20-00270  218.0  324.0  389.0  427.0 Complete
347  SER20-00271   82.0  464.0  316.0  409.0 Complete
348  SER20-00273  183.0  410.0  500.0  559.0 Complete
349  SER20-00275  368.0  497.0  596.0  601.0 Complete
350  SER20-00322   80.0  485.0  369.0  642.0 Complete
351  SER20-00326  282.0  408.0  486.0  480.0 Complete
352  SER20-00359  177.0  554.0  437.0  594.0 Complete
353  SER20-00361  388.0  431.0  716.0  494.0 Complete
354  SER20-00362  334.0  405.0  962.0  317.0 Complete
355  SER20-00363 4470.0 4626.0 6837.0 4729.0 Complete
356  SER20-00364  248.0  274.0  512.0  417.0 Complete
357  SER20-00415  390.0  454.0  725.0  690.0 Complete
358  SER20-00418  436.0  524.0  668.5  654.0 Complete
359  SER20-00492  369.0  555.0  644.0  692.0 Complete
360  SER20-00553  273.0  346.0  454.0  398.0 Complete
361  SER20-00554  298.0  331.0  604.0  482.0 Complete
362  SER20-00673  371.0  499.0  733.0  593.0 Complete
363 SER20-00673F  240.0  445.0  600.0  441.0 Complete
364  SER21-00004  363.0  448.0  663.0  478.0 Complete
365  SER21-00005  298.0  314.0  550.0  426.0 Complete
366  SER21-00006  349.0  353.0  629.0  532.0 Complete
367  SER21-00066  394.0  404.0  706.0  548.0 Complete
368  SER21-00067  457.0  493.0  767.0  636.0 Complete
369  SER21-00169  380.0  505.0  766.0  653.0 Complete
370  SER21-00170  413.0  498.0  664.0  641.0 Complete
371  SER21-00171  396.0  444.0  573.0  611.0 Complete
372  SER21-00172  372.0  471.0  668.0  548.0 Complete
373  SER21-00174  363.0  450.0  677.0  594.0 Complete
374  SER21-00175  214.0  256.0  388.0  273.0 Complete
375  SER21-00176  177.0  232.0  340.0  244.0 Complete
376  SER21-00177  147.0  210.0  325.0  238.0 Complete
377  SER21-00178  190.0  275.0  378.0  294.0 Complete
378  SER21-00179  130.0  196.0  284.0  191.0 Complete
379  SER21-00792  215.0  251.0  308.0  339.0 Complete
380  SER21-00794  106.0  124.0  254.0  178.0 Complete
381  SER21-00796   36.0   85.0  130.0  125.0 Complete
382  SER21-00797   27.0   82.0  144.5   70.0 Complete
383  SER21-00798  183.0  206.0  362.0  286.0 Complete
384  SER21-00799   25.0  326.0   74.0  432.0 Complete
385  SER21-00800  221.0  249.0  360.0  302.0 Complete
386  SER21-00801  139.0  173.0  256.0  190.0 Complete
387  SER21-00802  159.0  172.0  282.0  290.0 Complete
388  SER21-00803  220.0  261.0  361.0  312.0 Complete
389  SER21-00804  162.0  173.0  310.0  215.0 Complete
390  SER21-00896   53.0   72.0  117.0   88.0 Complete
391  SER21-00897   64.0   67.0  105.0   87.0 Complete
392  SER21-00898   18.0   75.0   52.0   64.0 Complete
393  SER21-00899  182.0  189.0  374.0  295.0 Complete
394  SER21-00900   88.0   87.0  205.0  138.0 Complete
395  SER21-00932  258.0  269.0  470.0  381.0 Complete
396  SER21-00934  701.0  825.0 1678.0 1586.0 Complete
397  SER21-00936  441.0  572.0  997.0  805.0 Complete
398  SER21-00937  130.0  297.0  644.0  310.0 Complete
399  SER21-00938  150.0  221.0  391.0  282.0 Complete
400  SER21-00939  159.5  162.0  294.0  202.0 Complete
401  SER21-00940    2.0  100.0   90.0  133.0  Partial
402  SER21-00941  251.0  413.0  738.0  485.0 Complete
403  SER21-00942  127.0  164.0  381.0  217.0 Complete
404  SER21-00943  587.0  725.0 1138.0  720.0 Complete
405  SER21-01066  131.0  167.0  285.0  196.0 Complete
406  SER21-01098  213.0  187.0  382.0  314.0 Complete
407  SER21-01136  255.0  264.0  473.0  332.0 Complete
408  SER21-01138  128.0  203.0  393.0  267.0 Complete
409  SER21-01139  279.0  354.0  513.0  501.0 Complete
410  SER21-01140   84.0  119.0  271.0  116.0 Complete
411  SER21-01176  340.0  300.0  700.0  364.0 Complete
412  SER21-01177  653.0  650.0 1179.0  991.0 Complete
413  SER21-01210  105.0  173.0  212.0  202.0 Complete
414  SER21-01212  156.0  133.0  429.0  341.0 Complete
415  SER21-01213   19.0  104.0  122.0  143.0 Complete
416  SER21-01214  101.0   66.0  227.0  143.0 Complete
417  SER21-01279   89.0   83.0  176.0  133.0 Complete
418  SER21-01281   33.0   38.0   73.0   60.0 Complete
419  SER21-01282    4.0   95.0    1.0  138.0  Partial
